  9.25984252   -0.1636678902E-08   -0.2251199655E-08
  9.35433071   -0.1590081542E-08   -0.2198261276E-08
  9.44881890   -0.1545390542E-08   -0.2147209437E-08
  9.54330709   -0.1502515482E-08   -0.2097999305E-08
  9.63779528   -0.1461367135E-08   -0.2050560653E-08
  9.73228346   -0.1421851522E-08   -0.2004790799E-08
  9.82677165   -0.1383878777E-08   -0.1960592049E-08
  9.92125984   -0.1347366774E-08   -0.1917880334E-08
 10.01574803   -0.1312240377E-08   -0.1876581825E-08
 10.11023622   -0.1278430286E-08   -0.1836629931E-08
 10.20472441   -0.1245872141E-08   -0.1797963508E-08
 10.29921260   -0.1214505874E-08   -0.1760525780E-08
 10.39370079   -0.1184275217E-08   -0.1724263665E-08
 10.48818898   -0.1155127308E-08   -0.1689127333E-08
 10.58267717   -0.1127012368E-08   -0.1655070015E-08
 10.67716535   -0.1099883455E-08   -0.1622048256E-08
 10.77165354   -0.1073696441E-08   -0.1590023600E-08
 10.86614173   -0.1048410554E-08   -0.1558965373E-08
 10.96062992   -0.1023987228E-08   -0.1528841974E-08
 11.05511811   -0.1000387572E-08   -0.1499612340E-08
 11.14960630   -0.9775740903E-09   -0.1471235960E-08
 11.24409449   -0.9555117758E-09   -0.1443676388E-08
 11.33858268   -0.9341679215E-09   -0.1416900342E-08
 11.43307087   -0.9135118199E-09   -0.1390876907E-08
 11.52755906   -0.8935145336E-09   -0.1365577073E-08
 11.62204724   -0.8741487218E-09   -0.1340973449E-08
 11.71653543   -0.8553885040E-09   -0.1317040084E-08
 11.81102362   -0.8372093465E-09   -0.1293752323E-08
 11.90551181   -0.8195879655E-09   -0.1271086707E-08
 12.00000000   -0.8025022424E-09   -0.1249020878E-08
