  5.57480315    0.1306898716E-07    0.1184101265E-07    0.2357815677E-07    0.3429429270E-07
  5.66929134    0.1219652225E-07    0.1078818711E-07    0.2283395972E-07    0.3352029225E-07
  5.76377953    0.1139484946E-07    0.9819194570E-08    0.2213261936E-07    0.3278336701E-07
  5.85826772    0.1065782354E-07    0.8927858059E-08    0.2147059234E-07    0.3208074390E-07
  5.95275591    0.9979875285E-08    0.8108398685E-08    0.2084469958E-07    0.3140991847E-07
  6.04724409    0.9355954744E-08    0.7355415614E-08    0.2025211193E-07    0.3076868586E-07
  6.14173228    0.8781462520E-08    0.6663821935E-08    0.1969031379E-07    0.3015508598E-07
  6.23622047    0.8252179323E-08    0.6028787279E-08    0.1915702810E-07    0.2956728646E-07
  6.33070866    0.7764226330E-08    0.5445745952E-08    0.1865016174E-07    0.2900354361E-07
  6.42519685    0.7314052320E-08    0.4910435939E-08    0.1816780402E-07    0.2846226728E-07
  6.51968504    0.6898418475E-08    0.4418905713E-08    0.1770824537E-07    0.2794208862E-07
  6.61417323    0.6514364903E-08    0.3967471822E-08    0.1726996818E-07    0.2744183095E-07
  6.70866142    0.6159170454E-08    0.3552672215E-08    0.1685159563E-07    0.2696039580E-07
  6.80314961    0.5830329161E-08    0.3171261965E-08    0.1645184314E-07    0.2649668778E-07
  6.89763780    0.5525542513E-08    0.2820234736E-08    0.1606950308E-07    0.2604962351E-07
  6.99212598    0.5242714886E-08    0.2496842092E-08    0.1570345308E-07    0.2561818800E-07
  7.08661417    0.4979946267E-08    0.2198598539E-08    0.1535267459E-07    0.2520150178E-07
  7.18110236    0.4735517025E-08    0.1923258856E-08    0.1501626026E-07    0.2479883461E-07
  7.27559055    0.4507865554E-08    0.1668779010E-08    0.1469339188E-07    0.2440954266E-07
  7.37007874    0.4295569517E-08    0.1433289629E-08    0.1438331096E-07    0.2403300594E-07
  7.46456693    0.4097333373E-08    0.1215082980E-08    0.1408530260E-07    0.2366860411E-07
  7.55905512    0.3911978481E-08    0.1012604305E-08    0.1379868958E-07    0.2331571392E-07
  7.65354331    0.3738434625E-08    0.8244472831E-09    0.1352283114E-07    0.2297371977E-07
  7.74803150    0.3575734130E-08    0.6493554559E-09    0.1325712832E-07    0.2264204587E-07
  7.84251969    0.3423006163E-08    0.4862171868E-09    0.1300103369E-07    0.2232019077E-07
  7.93700787    0.3279466388E-08    0.3340441780E-09    0.1275405040E-07    0.2200772189E-07
  8.03149606    0.3144405060E-08    0.1919483608E-09    0.1251572160E-07    0.2170424841E-07
  8.12598425    0.3017177499E-08    0.5912620939E-10    0.1228562130E-07    0.2140940325E-07
  8.22047244    0.2897196773E-08   -0.6515194907E-10    0.1206334909E-07    0.2112283468E-07
  8.31496063    0.2783927699E-08   -0.1815502517E-09    0.1184852712E-07    0.2084420167E-07
  8.40944882    0.2676881661E-08   -0.2906741031E-09    0.1164079766E-07    0.2057316944E-07
  8.50393701    0.2575612308E-08   -0.3930745358E-09    0.1143982088E-07    0.2030940633E-07
  8.59842520    0.2479712646E-08   -0.4892489831E-09    0.1124527489E-07    0.2005259151E-07
  8.69291339    0.2388812455E-08   -0.5796436870E-09    0.1105685877E-07    0.1980242930E-07
  8.78740157    0.2302574367E-08   -0.6646612122E-09    0.1087429302E-07    0.1955865110E-07
  8.88188976    0.2220689726E-08   -0.7446679018E-09    0.1069731694E-07    0.1932100933E-07
  8.97637795    0.2142875201E-08   -0.8199990757E-09    0.1052568601E-07    0.1908927243E-07
  9.07086614    0.2068870076E-08   -0.8909627307E-09    0.1035916995E-07    0.1886322192E-07
  9.16535433    0.1998434005E-08   -0.9578424264E-09    0.1019755132E-07    0.1864265061E-07
